dataset,byteSize,hasStreamElementCount,stream_type,stream_size
assist-iot-weather,2449524,10000,stream,10k
assist-iot-weather,24425270,100000,stream,100k
assist-iot-weather,171263830,701278,stream,full
assist-iot-weather,4950461,10000,flat,10k
assist-iot-weather,49429943,100000,flat,100k
assist-iot-weather,346739405,701278,flat,full
assist-iot-weather,1621806,10000,jelly,10k
assist-iot-weather,16136868,100000,jelly,100k
assist-iot-weather,113241846,701278,jelly,full
assist-iot-weather-graphs,1372150,10000,stream,10k
assist-iot-weather-graphs,13644527,100000,stream,100k
assist-iot-weather-graphs,95690032,701278,stream,full
assist-iot-weather-graphs,5312956,10000,flat,10k
assist-iot-weather-graphs,53040640,100000,flat,100k
assist-iot-weather-graphs,371871858,701278,flat,full
assist-iot-weather-graphs,825056,10000,jelly,10k
assist-iot-weather-graphs,8168805,100000,jelly,100k
assist-iot-weather-graphs,57409363,701278,jelly,full
citypulse-traffic-graphs,,,stream,10k
citypulse-traffic-graphs,,,stream,100k
citypulse-traffic-graphs,,,stream,full
citypulse-traffic-graphs,,,flat,10k
citypulse-traffic-graphs,,,flat,100k
citypulse-traffic-graphs,,,flat,full
citypulse-traffic-graphs,,,jelly,10k
citypulse-traffic-graphs,,,jelly,100k
citypulse-traffic-graphs,,,jelly,full
citypulse-traffic,1981277,10000,stream,10k
citypulse-traffic,19637904,100000,stream,100k
citypulse-traffic,860569460,4382599,stream,full
citypulse-traffic,3942963,10000,flat,10k
citypulse-traffic,39410103,100000,flat,100k
citypulse-traffic,1723662276,4382599,flat,full
citypulse-traffic,3293665,10000,jelly,10k
citypulse-traffic,32977145,100000,jelly,100k
citypulse-traffic,1456742263,4382599,jelly,full
dbpedia-live,70126835,10000,stream,10k
dbpedia-live,219654807,100000,stream,100k
dbpedia-live,269396153,166204,stream,full
dbpedia-live,77271959,10000,flat,10k
dbpedia-live,241300639,100000,flat,100k
dbpedia-live,295861327,166204,flat,full
dbpedia-live,97557793,10000,jelly,10k
dbpedia-live,308538840,100000,jelly,100k
dbpedia-live,375472767,166204,jelly,full
digital-agenda-indicators,324488,10000,stream,10k
digital-agenda-indicators,3775048,100000,stream,100k
digital-agenda-indicators,48530058,1440415,stream,full
digital-agenda-indicators,435531,10000,flat,10k
digital-agenda-indicators,4707109,100000,flat,100k
digital-agenda-indicators,61079172,1440415,flat,full
digital-agenda-indicators,206990,10000,jelly,10k
digital-agenda-indicators,1993874,100000,jelly,100k
digital-agenda-indicators,25952391,1440415,jelly,full
linked-spending,1325607,10000,stream,10k
linked-spending,10603359,100000,stream,100k
linked-spending,363477760,2477552,stream,full
linked-spending,2101051,10000,flat,10k
linked-spending,18229611,100000,flat,100k
linked-spending,606967498,2477552,flat,full
linked-spending,1586607,10000,jelly,10k
linked-spending,14431272,100000,jelly,100k
linked-spending,433699042,2477552,jelly,full
lod-katrina,745250,10000,stream,10k
lod-katrina,10088625,100000,stream,100k
lod-katrina,623255457,5893763,stream,full
lod-katrina,1001886,10000,flat,10k
lod-katrina,14550798,100000,flat,100k
lod-katrina,903719299,5893763,flat,full
lod-katrina,781113,10000,jelly,10k
lod-katrina,11767781,100000,jelly,100k
lod-katrina,750816462,5893763,jelly,full
muziekweb,882881,10000,stream,10k
muziekweb,8819118,100000,stream,100k
muziekweb,264491382,2450357,stream,full
muziekweb,880794,10000,flat,10k
muziekweb,8805157,100000,flat,100k
muziekweb,314562083,2450357,flat,full
muziekweb,842456,10000,jelly,10k
muziekweb,8507869,100000,jelly,100k
muziekweb,320755301,2450357,jelly,full
nanopubs,2672941,10000,stream,10k
nanopubs,26834429,100000,stream,100k
nanopubs,1096307410,5000000,stream,full
nanopubs,3634918,10000,flat,10k
nanopubs,37470205,100000,flat,100k
nanopubs,1808400766,5000000,flat,full
nanopubs,3156116,10000,jelly,10k
nanopubs,32393698,100000,jelly,100k
nanopubs,1670651104,5000000,jelly,full
politiquices,1449417,10000,stream,10k
politiquices,,,stream,100k
politiquices,2576367,17773,stream,full
politiquices,1729034,10000,flat,10k
politiquices,,,flat,100k
politiquices,3074148,17773,flat,full
politiquices,1575735,10000,jelly,10k
politiquices,,,jelly,100k
politiquices,2799242,17773,jelly,full
yago-annotated-facts,385517,10000,stream,10k
yago-annotated-facts,3740006,100000,stream,100k
yago-annotated-facts,37915610,617768,stream,full
yago-annotated-facts,262995,10000,flat,10k
yago-annotated-facts,2495357,100000,flat,100k
yago-annotated-facts,30145635,617768,flat,full
yago-annotated-facts,308743,10000,jelly,10k
yago-annotated-facts,3129797,100000,jelly,100k
yago-annotated-facts,31360034,617768,jelly,full
