assist-iot-weather,assist-iot-weather-graphs,citypulse-traffic-graphs,citypulse-traffic,dbpedia-live,digital-agenda-indicators,linked-spending,lod-katrina,muziekweb,nanopubs,politiquices,yago-annotated-facts
0.0,2.875,4.6,4.6,4.125,5.1,5.75,3.6666666666666665,4.95,4.85,5.75,4.416666666666667
2.875,0.0,4.6,4.6,4.125,5.1,5.75,3.6666666666666665,4.95,4.85,5.75,4.416666666666667
4.6,4.6,0.0,3.84,5.1,5.08,5.6,5.2,5.64,5.36,6.733333333333333,5.333333333333333
4.6,4.6,3.84,0.0,5.1,5.08,5.6,5.2,5.64,5.36,6.733333333333333,5.333333333333333
4.125,4.125,5.1,5.1,0.0,5.1,5.75,5.333333333333333,3.6,4.0,5.166666666666667,2.8333333333333335
5.1,5.1,5.08,5.08,5.1,0.0,4.95,5.733333333333333,5.12,4.72,5.133333333333334,5.066666666666666
5.75,5.75,5.6,5.6,5.75,4.95,0.0,6.083333333333333,6.35,5.35,5.833333333333333,5.75
3.6666666666666665,3.6666666666666665,5.2,5.2,5.333333333333333,5.733333333333333,6.083333333333333,0.0,5.933333333333334,5.6,5.555555555555555,5.666666666666667
4.95,4.95,5.64,5.64,3.6,5.12,6.35,5.933333333333334,0.0,5.12,5.2,4.066666666666666
4.85,4.85,5.36,5.36,4.0,4.72,5.35,5.6,5.12,0.0,5.0,4.066666666666666
5.75,5.75,6.733333333333333,6.733333333333333,5.166666666666667,5.133333333333334,5.833333333333333,5.555555555555555,5.2,5.0,0.0,5.555555555555555
4.416666666666667,4.416666666666667,5.333333333333333,5.333333333333333,2.8333333333333335,5.066666666666666,5.75,5.666666666666667,4.066666666666666,4.066666666666666,5.555555555555555,0.0
