dataset,metadata,hasDocWeight,maximum,mean,minimum,standardDeviation,sum,uniqueCount
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,11,10.0737,8,0.604705143024259,100737,10799
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,12,12.0,12,0.0,120000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,2,2.0,2,0.0,20000,2
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,57,56.0737,54,0.604705143024118,560737,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,65,65.0,65,0.0,650000,180046
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,115,115.0,115,0.0,1150000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,13,12.0737,10,0.604705143024259,120737,10801
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,30,30.0,30,0.0,300000,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,2,2.0,2,0.0,20000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,13,12.0737,10,0.604705143024259,120737,10801
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,13,13.0,13,0.0,130000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,2,2.0,2,0.0,20000,2
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,57,56.0737,54,0.604705143024118,560737,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,67,67.0,67,0.0,670000,10066
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,116,116.0,116,0.0,1160000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,31,31.0,31,0.0,310000,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,11,10.0737,8,0.604705143024259,100737,10799
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,5,5.0,5,0.0,50000,
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,22,22.0,22,0.0,220000,50022
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,10000,
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,4,3.9981,2,0.05192677536686202,39981,229
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,9,9.0,9,0.0,90000,
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,5,4.9981,3,0.05192677536686202,49981,9536
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,1,1.0,1,0.0,10000,9307
citypulse-traffic,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,11,11.0,11,0.0,110000,
