dataset,metadata,hasDocWeight,maximum,mean,minimum,standardDeviation,sum,uniqueCount
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#SimpleLiteralCountStatistics,3,2,2.0,2,0.0,1402556,2
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#IriCountStatistics,0,65,65.0,65,0.0,45583070,12624089
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,57,56.14361494300406,54,0.6936991601507121,39372282,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,1,1.0,1,0.0,701278,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,30,30.0,30,0.0,21038340,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,11,10.143614943004058,8,0.6936991601506506,7113494,704200
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#QuotedTripleCountStatistics,6,0,0.0,0,0.0,0,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,115,115.0,115,0.0,80646970,
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,13,12.143614943004058,10,0.6936991601506506,8516050,704202
assist-iot-weather,https://w3id.org/riverbench/schema/metadata#PredicateCountStatistics,8,12,12.0,12,0.0,8415336,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#LanguageLiteralCountStatistics,5,0,0.0,0,0.0,0,0
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#GraphCountStatistics,10,2,2.0,2,0.0,1402556,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#ObjectCountStatistics,9,57,56.14361494300406,54,0.6936991601507121,39372282,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#StatementCountStatistics,11,116,116.0,116,0.0,81348248,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#BlankNodeCountStatistics,1,0,0.0,0,0.0,0,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#SubjectCountStatistics,7,31,31.0,31,0.0,21739618,
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#DatatypeLiteralCountStatistics,4,11,10.143614943004058,8,0.6936991601506506,7113494,704200
assist-iot-weather-graphs,https://w3id.org/riverbench/schema/metadata#LiteralCountStatistics,2,13,12.143614943004058,10,0.6936991601506506,8516050,704202
